Country,Dataset,Outcome,Variable,RMSPE
NL,Hemoglobin and ferritin,Ferritin,time_to_fu_quantilesq4,16.750036886198
NL,Hemoglobin only,Ferritin,time_to_fu_quantilesq4,20.4206097955288
NL,Hemoglobin and ferritin,Hemoglobin,time_to_fu_quantilesq4,6.53921121718173
NL,Hemoglobin only,Hemoglobin,time_to_fu_quantilesq4,5.98803150030003
NL,Hemoglobin and ferritin,Ferritin,time_to_fu_quantilesq3,14.2325073931383
NL,Hemoglobin only,Ferritin,time_to_fu_quantilesq3,16.6442922075991
NL,Hemoglobin and ferritin,Hemoglobin,time_to_fu_quantilesq3,6.42484256394515
NL,Hemoglobin only,Hemoglobin,time_to_fu_quantilesq3,5.73327892631939
NL,Hemoglobin and ferritin,Ferritin,time_to_fu_quantilesq2,12.6849146606452
NL,Hemoglobin only,Ferritin,time_to_fu_quantilesq2,20.7267659121329
NL,Hemoglobin and ferritin,Hemoglobin,time_to_fu_quantilesq2,5.88053169979159
NL,Hemoglobin only,Hemoglobin,time_to_fu_quantilesq2,5.60372526958723
NL,Hemoglobin and ferritin,Ferritin,time_to_fu_quantilesq1,16.182853217285
NL,Hemoglobin only,Ferritin,time_to_fu_quantilesq1,18.2970438574921
NL,Hemoglobin and ferritin,Hemoglobin,time_to_fu_quantilesq1,6.22331762088034
NL,Hemoglobin only,Hemoglobin,time_to_fu_quantilesq1,6.12954247882099
NL,Hemoglobin and ferritin,Ferritin,sexF,16.3851728114844
NL,Hemoglobin only,Ferritin,sexF,20.5023690418103
NL,Hemoglobin and ferritin,Hemoglobin,sexF,5.94469095721011
NL,Hemoglobin only,Hemoglobin,sexF,5.64564348372284
NL,Hemoglobin and ferritin,Ferritin,sexM,12.3338761076303
NL,Hemoglobin only,Ferritin,sexM,17.3300912302675
NL,Hemoglobin and ferritin,Hemoglobin,sexM,6.82184231375525
NL,Hemoglobin only,Hemoglobin,sexM,6.11516621423425
NL,Hemoglobin and ferritin,Ferritin,agegroup64+,11.9573988689785
NL,Hemoglobin only,Ferritin,agegroup64+,16.9400927039417
NL,Hemoglobin and ferritin,Hemoglobin,agegroup64+,6.68017863584031
NL,Hemoglobin only,Hemoglobin,agegroup64+,6.06685210555195
NL,Hemoglobin and ferritin,Ferritin,agegroup40-64,13.4039382111953
NL,Hemoglobin only,Ferritin,agegroup40-64,18.5849235359273
NL,Hemoglobin and ferritin,Hemoglobin,agegroup40-64,6.40786166481121
NL,Hemoglobin only,Hemoglobin,agegroup40-64,5.92783769381827
NL,Hemoglobin and ferritin,Ferritin,agegroup25-39,15.8299946198654
NL,Hemoglobin only,Ferritin,agegroup25-39,20.0746856807314
NL,Hemoglobin and ferritin,Hemoglobin,agegroup25-39,6.00807231488839
NL,Hemoglobin only,Hemoglobin,agegroup25-39,5.69080786606588
NL,Hemoglobin and ferritin,Ferritin,agegroup15-24,18.5765083930047
NL,Hemoglobin only,Ferritin,agegroup15-24,20.9282864776232
NL,Hemoglobin and ferritin,Hemoglobin,agegroup15-24,6.13167475488582
NL,Hemoglobin only,Hemoglobin,agegroup15-24,5.80224607239545
